ID	Name	Region	Latitude	Longitude	Source
T_Laka-1	Laka	Africa	8.3	16.2	Genomic_from_blood
T_Laka-2	Laka	Africa	8.3	16.2	Genomic_from_blood
T_Mada-1	Mada	Africa	10.8	14.2	Genomic_from_blood
T_Mada-2	Mada	Africa	10.8	14.2	Genomic_from_blood
T_Mursi-1	Mursi	Africa	5.9	36.2	Genomic_from_blood
T_Mursi-2	Mursi	Africa	5.9	36.2	Genomic_from_blood
T_Ngumba-1	Ngumba	Africa	3.0	10.5	Genomic_from_blood
T_Ngumba-2	Ngumba	Africa	3.0	10.5	Genomic_from_blood
T_Ogiek-1	Ogiek	Africa	-0.4	35.9	Genomic_from_blood
T_Ogiek-2	Ogiek	Africa	-0.4	35.9	Genomic_from_blood
T_Rendille-1	Rendille	Africa	2.6	37.7	Genomic_from_blood
T_Rendille-2	Rendille	Africa	2.6	37.7	Genomic_from_blood
T_Sandawe-1	Sandawe	Africa	-5.5	35.5	Genomic_from_blood
T_Sandawe-2	Sandawe	Africa	-5.5	35.5	Genomic_from_blood
T_Sengwer-1	Sengwer	Africa	1.1	35.3	Genomic_from_blood
T_Sengwer-2	Sengwer	Africa	1.1	35.3	Genomic_from_blood
T_Tikar_South-1	Tikar_South	Africa	5.4	11.4	Genomic_from_blood
T_Tikar_South-2	Tikar_South	Africa	5.4	11.4	Genomic_from_blood	
